idx,lat,lon,M0corr,M1corr,M2corr,M3corr,RFcorr,XGBcorr,M0rmse,M1rmse,M2rmse,M3rmse,RFrmse,XGBrmse,M0slp,M1slp,M2slp,M3slp,RFslp,XGBslp,M0re,M1re,M2re,M3re,RFre,XGBre
336128,34.7539,127.7468,0.32,0.12,0.2,0.19,0.59,0.57,29.94,31.37,30.98,31.04,25.96,26.05,0.1,0.02,0.05,0.05,0.26,0.3,0.67,0.72,0.7,0.69,0.55,0.55
336131,34.9476,127.4891,0.38,0.2,0.25,0.25,0.63,0.62,23.34,24.74,24.44,24.41,19.82,19.84,0.14,0.04,0.06,0.07,0.32,0.36,0.75,0.82,0.81,0.81,0.58,0.59
336132,34.9471,127.5186,0.35,0.18,0.21,0.21,0.6,0.6,22.48,23.61,23.48,23.47,19.5,19.25,0.12,0.03,0.05,0.05,0.28,0.34,0.74,0.78,0.78,0.78,0.57,0.56
336133,34.8855,127.5098,0.3,0.05,0.15,0.17,0.59,0.61,26.76,28.04,27.75,27.65,22.91,22.31,0.09,0.0,0.03,0.04,0.27,0.35,0.63,0.66,0.65,0.66,0.51,0.5
336134,34.8935,127.573,0.35,0.15,0.22,0.24,0.58,0.6,30.68,32.37,31.9,31.78,26.91,26.18,0.12,0.02,0.05,0.06,0.28,0.34,0.74,0.79,0.75,0.75,0.6,0.59
336135,34.9364,127.5484,0.35,0.2,0.21,0.22,0.59,0.6,26.91,28.2,28.13,28.03,23.5,23.0,0.12,0.04,0.05,0.06,0.27,0.35,1.11,1.16,1.18,1.18,0.84,0.82
336141,35.0217,126.7904,0.34,0.13,0.26,0.27,0.57,0.58,26.73,28.24,27.48,27.39,23.51,23.3,0.12,0.02,0.07,0.08,0.27,0.32,0.53,0.58,0.56,0.56,0.45,0.45
336151,35.321,126.9882,0.44,0.12,0.23,0.25,0.59,0.55,31.72,35.12,34.41,34.26,28.91,29.59,0.2,0.02,0.06,0.07,0.28,0.34,0.6,0.74,0.73,0.73,0.55,0.53
336161,35.3032,126.7854,0.38,0.11,0.29,0.29,0.62,0.61,29.09,31.3,30.15,30.17,24.9,24.96,0.15,0.01,0.09,0.09,0.31,0.34,0.64,0.76,0.68,0.69,0.54,0.55
336221,34.6857,127.5975,0.32,0.13,0.12,0.12,0.09,0.09,30.23,31.66,31.68,31.68,34.03,34.12,0.1,0.02,0.02,0.02,0.04,0.04,0.75,0.75,0.76,0.76,0.8,0.79
336222,34.8819,127.5788,0.33,0.14,0.24,0.26,0.62,0.6,29.5,30.97,30.33,30.17,24.87,24.93,0.11,0.02,0.06,0.07,0.3,0.37,0.6,0.63,0.59,0.59,0.47,0.48
336223,34.825,127.7318,0.4,0.06,0.34,0.33,0.65,0.63,29.57,32.24,30.42,30.49,24.87,24.98,0.16,0.0,0.12,0.12,0.34,0.38,0.61,0.73,0.59,0.58,0.43,0.43
336352,34.9399,127.6977,0.4,0.23,0.28,0.28,0.57,0.57,29.49,31.36,30.9,30.97,26.63,26.52,0.16,0.05,0.08,0.08,0.27,0.32,0.54,0.6,0.57,0.57,0.42,0.43
336353,34.9419,127.7571,0.48,0.2,0.35,0.37,0.7,0.69,29.24,32.56,31.13,30.93,24.32,24.07,0.23,0.04,0.13,0.14,0.37,0.46,0.78,1.01,0.9,0.91,0.6,0.56
336355,34.9808,127.5823,0.43,0.16,0.24,0.24,0.6,0.56,18.65,20.34,20.01,20.02,16.7,17.1,0.18,0.03,0.06,0.06,0.29,0.32,0.51,0.59,0.56,0.56,0.43,0.44
336361,34.5652,126.5992,0.36,0.14,0.26,0.3,0.6,0.58,31.81,33.75,32.93,32.53,27.35,27.72,0.13,0.02,0.07,0.09,0.32,0.36,0.7,0.83,0.75,0.73,0.55,0.57
336441,34.7574,126.4527,0.34,0.09,0.28,0.3,0.61,0.58,33.58,35.56,34.26,34.08,28.53,29.03,0.11,0.01,0.08,0.09,0.31,0.34,0.47,0.54,0.5,0.5,0.38,0.39
336442,34.8075,126.7006,0.38,0.07,0.27,0.3,0.59,0.56,31.26,33.78,32.55,32.28,27.66,28.13,0.15,0.01,0.08,0.09,0.28,0.34,0.51,0.61,0.53,0.54,0.44,0.45
336452,35.0653,126.9859,0.38,0.05,0.19,0.23,0.61,0.56,26.21,28.27,27.76,27.54,22.79,23.5,0.14,0.0,0.04,0.06,0.29,0.31,0.55,0.66,0.63,0.62,0.5,0.49
336461,35.278,126.512,0.37,0.11,0.31,0.32,0.57,0.59,29.67,31.8,30.46,30.36,26.43,25.81,0.14,0.01,0.1,0.11,0.27,0.35,0.5,0.56,0.52,0.52,0.4,0.41
336471,34.675,126.9067,0.36,0.11,0.21,0.25,0.61,0.59,32.2,34.38,33.81,33.52,27.94,27.87,0.13,0.01,0.05,0.07,0.28,0.35,0.6,0.68,0.67,0.67,0.51,0.51
